Brand Name,Fragrance Name,Family,Main Accords,Key Characteristics / Comparisons,Notes Breakdown - Top,Notes Breakdown - Middle,Notes Breakdown - Base,Sillage Performance,Longevity Performance,Wearability Gender,Wearability Best Seasons,Wearability Time of Day,Fragrantica Page,Concentration,Bottle volume (ml),Opened,Batch number,Production date,Expiration date,Barcode,Extra information,Perfumer,Launch year,Ingredients,Thumbnail image,Extra bottle,"Personal rating
(1 worst to 10 best)",Woman likes
Al Haramain Perfumes,L'Aventure Ciel,Woody Floral Musk,"Ozonic, Green, Aquatic, Fresh, Musky, Powdery, Woody, Floral, Amber, Animalic","Fresh, sophisticated, and slightly woody-floral aromatic scent with bright, dominant notes of citrus (lemon/bergamot), violet leaf, and jasmine tea over a musk base, is considered a great clone of Creed Millésime Impérial (though some find it closer to the original L'Aventure DNA), and is primarily recommended as a versatile, uplifting scent best for spring, summer, and daytime wear. ""Aromatic journey."" Compared to a hybrid of Creed's Millésime Impérial and Green Irish Tweed. Some found it a ""skin scent"" with weak projection","Bergamot, Lemon, Citrus","Jasmine Tea, Violet Leaf, Lavender","Musk, Sandalwood, Ambergris","Moderate, Intimate","Moderate, Long lasting","More male, Unisex","Spring, Summer",Day,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/L-Aventure-Ciel-94349.html,EDP,100,06/2025,280324011425,03/2024,UNDEFINED,6291106813630,,Unknown,2024,"ALCOHOL DENAT., 75% VOL, AQUA (WATER), FRAGRANCE, CITRAL, CITRONELLOL, COUMARIN, FARNESOL, GERANIOL, LIMONENE, LINALOOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.94349.avif,,,
Al Haramain Perfumes,L'Aventure Fraiche,Citrus Aromatic,"Citrus, Fresh Spicy, Green, Woody, Aromatic, Ozonic, Fresh, Warm Spicy, Musky, Powdery","Highly-rated crisp, clean, and green citrus-aromatic fragrance noted for its blend of zesty lemon/bergamot, ginger, tea, and clean woods, is widely considered to be a refined, less synthetic clone of Creed Silver Mountain Water (SMW), and is strongly recommended as a versatile and uplifting scent best for spring, summer, and daytime wear. Zesty, invigorating start; soft, green heart; warm, smooth finish. ""Freshly showered vibe""","Bergamot, Lemon, Ginger","Tea, Violet Leaves, Cardamom","Musk, Woody Notes, Sandalwood","Moderate, Strong","Moderate, Long lasting","More male, Male","Spring, Summer",Day,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/L-Aventure-Fraiche-96480.html,EDP,100,06/2025,160524011422,05/2024,UNDEFINED,6291106813579,,Unknown,2024,"ALCOHOL DENAT. 75% VOL, AQUA (WATER), FRAGRANCE, ALPHA ISOMETHYL IONONE, BENZYL BENZOATE, BENZYL SALICYLATE, CITRAL, CITRONELLOL, COUMARIN, EUGENOL, FARNESOL, GERANIOL, LIMONENE, LINALOOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.96480.avif,,,
Al Haramain Perfumes,L'Aventure Knight,Oriental Fougere,"Powdery, Citrus, Ozonic, Iris, Woody, Amber, Green, Aquatic, Musky, Animalic","Crisp, elegant, and sophisticated aromatic fougère fragrance with dominant notes of lemon verbena, tea, iris, and violet leaf over a woody-musky base, is overwhelmingly considered the strongest and closest budget clone of Creed Green Irish Tweed (GIT), and is recommended as a highly versatile scent best for spring, fall, and year-round professional or evening wear. Affordable, good longevity. Powderiness after 30 mins, old-fashioned vibe. Compared also to Davidoff Cool Water","Lemon Verbena, Bergamot, Tea","Violet Leaf, Iris","Powdery Notes, Ambergris, Musk, Sandalwood","Moderate, Strong","Long lasting, Moderate","Male, More male","Spring, Summer",Day,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/L-Aventure-Knight-51824.html,EDP,100,06/2025,51124011905,11/2024,UNDEFINED,6291100134267,,Marc Chaya,2018,"alcohol denat. 70% VOL, aqua (water), fragrance, limonene, citronellol, alpha isomethyl ionone, amyl cinnamal",https://fimgs.net/mdimg/perfume-thumbs/375x500.51824.avif,,,
Al Wataniah,Attar Al Wesal,Oriental Spicy,"Aromatic, Lavender, Vanilla, Fresh Spicy, Green, Sweet, Woody, Fruity, Citrus, Amber","Warm, captivating, and sweet amber spicy fragrance with key notes of pear, black vanilla, cinnamon, and lavender, is overwhelmingly considered a top-tier, long-lasting clone of Jean Paul Gaultier Ultra Male, and is best recommended as a versatile scent for cooler weather, evenings, and nighttime occasions. Gourmand/pie-like feeling. Good performance. Good value","Lavender, Pear, Mint, Bergamot, Lemon","Cinnamon, Clary Sage, Cumin","Black Vanilla Husk, Cedar, Amber, Patchouli","Moderate, Strong","Long lasting, Moderate","Male, More male","Winter, Fall","Night, Day",https://www.fragrantica.com/perfume/Al-Wataniah/Attar-Al-Wesal-78529.html,EDP,100,08/2025,ML6.0100618,01/2025,01/2030,5055810014933,,Unknown,2020,"Alcohol Denat, Fragrance (Parfum), Water(Aqua), Linalool, Geraniol, Coumarin, Limonene, Alpha-Isomethyl Ionone , Citronellol, Eugenol, Citral, Benzyl Benzoate",https://fimgs.net/mdimg/perfume-thumbs/375x500.78529.avif,,,
Al Wataniah,Kayaan Classic,Oriental Vanilla,"Powdery, iris, woody, vanilla, violet, earthy, warm spicy, musky, citrus, balsamic","Highly-praised, sophisticated, powdery, and warm oriental-vanilla scent with dominant notes of Tuscan iris, vanilla, and woods that create a ""lipsticky"" makeup vibe, is overwhelmingly considered the closest and best affordable clone of Dior Homme Intense (DHI), and is strongly recommended as an elegant, versatile fragrance best for cooler weather, fall, and evening wear. Reminds of Dior Homme Intense 2011 Dior (379 votes similar), Valentino Uomo Intense Valentino (74 votes similar).","Orange, Bergamot","Tuscan Iris, Spices, Rose, Jasmine","Vanilla, Sandalwood, Musk, Patchouli","Moderate, Strong","Long lasting, Moderate","More male, Male","Winter, Spring, Summer, Fall","Night, Day",https://www.fragrantica.com/perfume/Al-Wataniah/Kayaan-Classic-82472.html,EDP,100,08/2025,M-12-250100937,01/2025,01/2030,5055810030414,,Unknown,2023,"Alcohol Denat, Fragrance (Parfum), Water(Aqua), Linalool, Limonene, Citral, Coumarin, Geraniol, Benzyl Benzoate, Alpha-Isomethyl Ionone, Citronellol, Benzyl Cinnamate",https://fimgs.net/mdimg/perfume-thumbs/375x500.82472.avif,,,
Al-Rehab,Al Fares,Woody Aromatic,"musky, white floral, powdery, aromatic, fresh, lavender, citrus, animalic, amber, sweet","Fresh, clean, woody, and aromatic fragrance with prominent herbal and citrus notes, often compared to Calvin Klein's Eternity for its classic profile, and is best suited as a versatile scent for hot days or year-round","Musk, Amber, Fruits and Basil","Lily of the Valley, Jasmine, Citruses and Coriander","Musk, Lavender, Orange Blossom, Sandalwood and Sage","Moderate, Strong","Moderate, Long lasting","Male, More male","Spring, Summer, Fall",Day,https://www.fragrantica.com/perfume/Al-Rehab/Al-Fares-20118.html,PARFUM OIL,6,,,,,,,Unknown,2016,"Parfum/fragrance, Di propylene glycol, Ethanol DEB 100, Propane, Butane, Citral, Coumarin, Eugenol, ISO Eugenol, Geranoil, Limonene, Linanool",https://fimgs.net/mdimg/perfume-thumbs/375x500.20118.avif,,,
Al-Rehab,Dakar,Woody Aromatic,"woody, mossy, earthy, aromatic, herbal, warm spicy, soft spicy, powdery, amber, aquatic","Highly-regarded, affordable, green, woody Aromatic fragrance for men, praised as an excellent clone—often superior in performance and closer to the original vintage scent—of Guy Laroche Drakkar Noir, and is best suited for fall and winter days due to its strong projection and mossy, spicy depth","Moss, Sage, Cedar","Spicy Notes, Sandalwood, Amber","Watery Notes, Agarwood (Oud)","Moderate, Strong","Long lasting, Moderate","Male, More male","Fall, Spring, Winter, Summer","Day, Night",https://www.fragrantica.com/perfume/Al-Rehab/Dakar-20141.html,PARFUM OIL,6,,,,,,,Unknown,2014,"Parfume, Benzyl Salicylate, Linalool, Limonene, Hydroxcitronellal, Benxoate, Coumarin, Eugenol, Citral, Evernia Prunastri Extract, Geranol, Citronellol, Farensol, Cinnamal, Isoeugenol",https://fimgs.net/mdimg/perfume-thumbs/375x500.20141.avif,,,
Al-Rehab,Lord,Aromatic Fougere,"woody, warm spicy, patchouli, amber, balsamic, green, citrus, earthy","Affordable, strong, masculine, Aromatic-Fresh ""powerhouse"" often described as a mossy, herbaceous, woody-spicy scent with notes of citrus, patchouli, and pine, commonly compared to classic strong fragrances like Ted Lapidus Pour Homme or Drakkar Noir, and is best for spring and colder days","Herbal Notes, Citruses","Resins, Woody Notes","Spicy Notes, Patchouli","Strong, Moderate","Long lasting, Eternal","Male, More male","Fall, Winter, Spring, Summer","Day, Night",https://www.fragrantica.com/perfume/Al-Rehab/Lord-20144.html,PARFUM OIL,6,,,,,,,Unknown,2013,"Parfum, Linalool, Hexyl Cinnamal, Coumarin, Eugenol, Benzyl Benzoate, Hydroxycitronellal, Citronellol, Benzyl Salicylate, Geraniol, Citral, Benzyl Alcohol, Cinnamal",https://fimgs.net/mdimg/perfume-thumbs/375x500.20144.avif,,,
Al-Rehab,Sultan,Woody Spicy,"woody, aromatic, fresh spicy, warm spicy, powdery, musky, citrus","Highly affordable, complex woody-spicy fragrance for men, with a core of cedar, sandalwood, and musk brightened by juniper, cardamom, and citrus notes like bergamot, often giving it a fresh, slightly mentholated and clean, earthy-outdoorsy feel, making it best suited as a versatile scent for spring and autumn but wearable year-round","Juniper, Cedar, Musk, Bergamot","Sandalwood, Cardamom","Vanilla, Cinnamon","Moderate, Strong","Long lasting, Moderate","Male, More male","Summer, Spring, Fall","Day, Night",https://www.fragrantica.com/perfume/Al-Rehab/Sultan-20117.html,PARFUM OIL,6,,,,,,,Unknown,2018,"Citral, Citronellol, Coumarin, Eugenol, Geraniol, Isoeugenol, Limonene, Linalool",https://fimgs.net/mdimg/perfume-thumbs/375x500.20117.avif,,,
Al-Rehab,Superman ,Oriental Spicy,"fresh spicy, warm spicy, amber, musky, powdery, oud, woody, fresh, balsamic","Intense, potent, and soapy-clean, woody-spicy oriental attar with rich notes of cloves, cardamom, cedarwood, and musk, is frequently compared to the vintage, smoky, and classic profile of Jacomo de Jacomo, and is generally considered a long-lasting scent best for cooler weather, fall, and evening wear","Cloves, Black Pepper, Ginger","Myrrh, Musk","Agarwood (Oud), Sandalwood","Strong, Moderate","Eternal, Long lasting","Male, More male","Winter, Fall","Day, Night",https://www.fragrantica.com/perfume/Al-Rehab/Superman-20125.html,PARFUM OIL,6,09/2025,UNREADABLE,UNKNOWN,UNKNOWN,6291110001344,,Unknown,2011,"PARFUM, LINALOOL, EUGENOL, BENZYL BENZOATE, COUMARIN, ISOEUGENOL, CITRONELLOL, CINNAMAL, CITRAL, GERANIOL, LIMONENE, BENZYL SALICYLATE, CINNAMYL ALCOHOL, FARNESOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.20125.avif,,,
Alfred Sung,Sung Homme,Aromatic Fougere,"Aromatic, Fresh spicy, Woody, Warm spicy, Fresh, Green, Herbal, Citrus, Aldehydic, Conifer","Classic, powerful, and clean soapy aromatic fougère widely praised for distilling the barbershop experience into a bottle, with dominant notes of juniper berries, pine, basil, and oakmoss, is often compared to the scent of Irish Spring soap and, while very different, shares the complex, green, '80s powerhouse vibe of Drakkar Noir and Polo Green, and is considered a versatile signature scent best for all seasons and everyday casual wear. Affordable. Clean and fresh. Long-lasting","Juniper Berries, Bergamot, Sage, Artemisia, Caraway, Pepper, Lemon, Basil, Bay Leaf, Galbanum, Petitgrain","Pine Tree Needles, Aldehydes, Carnation, Geranium, Spicy Notes, Caraway, Jasmine, Rose","Fir, Oakmoss, Leather, Musk, Cedar, Patchouli, Vetiver, Sandalwood","Strong, Moderate","Long lasting, Moderate","Male, More male","Winter, Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Alfred-Sung/Sung-Homme-1652.html,EDT,100,08/2025,N24827A,08/2024,UNDEFINED,67724079101,Tester,Alfred Sung,1989,"ALCOHOL DENAT,WATER/AQUA/EAU,PARFUM/FRAGRANCE,PROPYLENE,GLYCOL,BENZYL,ALCOHOL,BENZYL,BENZOATE,BENZYL,SALICYLATE,BUTYLPHENYL,METHYLPROPIONAL,CINNAMAL,CITRAL,CITRONELLOL,COUMARIN,EUGENOL,GERANIOL,HEXYL,CINNAMAL,HYDROXYCITRONELLAL,LIMONENE,LINALOOL,BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL,METHOXYCINNAMATE,ETHYLHEYXL,SALICYLATE,BLUE 1(CI 42090) EXT.VIOLET 2(CI 60730) RED 33(CI 17200)",https://fimgs.net/mdimg/perfume-thumbs/375x500.1652.avif,,,
Alt-Innsbruck,Alt-Innsbruck Eau de Cologne,Aromatic,"tobacco, green, aromatic, sweet, fresh spicy","Unique, classic barbershop scent, praised for its traditional, simple recipe featuring real Virginia tobacco blossom (sweet, floral tobacco) and menthol, delivering a powerfully cooling and refreshing effect that makes it primarily ideal for hot days, with some reviewers noting its singularity and high quality while drawing loose comparisons to the mentholated aspects of fragrances like Old Spice",Tobacco Flower,Mint,-,"Moderate, Strong","Moderate, Long lasting","Male, More male","Spring, Fall, Winter, Summer",Day,https://www.fragrantica.com/perfume/Alt-Innsbruck/Alt-Innsbruck-Eau-de-Cologne-24300.html,EDC,100,,,,,,,Traditional Austrian recipe,1953,"water, alcohol, menthol, perfume",https://fimgs.net/mdimg/perfume-thumbs/375x500.24300.avif,,,
Alvarez Gómez,Agua de Colonia Concentrada Barberia,Citrus Aromatic,"citrus, woody, aromatic, fresh spicy, fresh, powdery, musky, amber","Fresh, elegant, Citrus Aromatic fragrance that offers a classic barbershop feel with a modern twist. It features a crisp opening of lemon, bitter orange, and ginger, balanced by an oriental, woody base of cedar, sandalwood, and musk, making it ideal for a clean, sophisticated, year-round wear, especially after a shower","Bitter Orange, Ginger, Lemon and Bergamot","Labdanum, Rhubarb and Coriander","Cedar, Sandalwood and White Musk","Moderate, Intimate","Moderate, Weak","Male, More male","Summer, Spring, Fall",Day,https://www.fragrantica.com/perfume/Alvarez-Gomez/Agua-de-Colonia-Concentrada-Barberia-20421.html,EDP,80,11/2025,L23060018,06/2023,UNDEFINED,8422385700269,Made in Spain,Alvarez Gómez,2012,"ALCOHOL DENAT, AQUA, PARFUM, LIMONENO, LINALOOL, IONONA ALFA-ISOMETILO, CITRONELLOL, GERANIOL, EUGENOL, CITRAL",https://fimgs.net/mdimg/perfume-thumbs/375x500.20421.avif,,,
