Note,Description
Aldehydes,"Organic compounds used to create lift, diffusion, and clean, crisp, soapy, and fresh notes. They are highly reactive but essential, providing high-impact effects even in trace amounts. Classic aldehydes revolutionized perfumery in fragrances like Chanel No. 5"
Caraway,"A spice whose seed oil is characterized by carvone, providing the typical aroma. It is typically used in aromatic spicy compositions. Caraway is sometimes classified as a cold/long spice"
Basil,"An herb considered an aromatic note by perfumers. It is often regarded as a spicy note in its European variety due to high concentrations of Eugenol. European basil oil contains high levels of Linalool and Methyl Chavicol (estragole)"
Fir,"A conifer providing sharp, woody-piney, fresh, green, and balsamic notes. Fir needle oils contain monoterpene hydrocarbons and (-)-bornyl acetate. Balsam fir resin contains diterpenes that can be transformed into ambroxide, replicating the ambergris odor"
Carnation,"A floral note historically valued for its powdery and spicy-sweet vanilla-floral odor. The scent is often simulated using Isoeugenol, a phenolic compound with distinctive carnation characteristics. Carnation accords are frequently incorporated into both women's and men's fragrances"
Pepper,"A spice used for its sharp, piquant, and warm spicy qualities. Black pepper contains the non-volatile compound piperine responsible for its burning effect, while pink pepper (*Schinus molle*) oil has a sweeter, fresh odor and provides diffusivity"
Sage,"An aromatic herb used in the greens and herbs fragrance categories. Clary Sage oil (*Salvia sclarea*) is characterized by sweet, herbaceous, amber, and tobacco notes. It is often used in Fougère and aromatic blends and is a natural source of sclareol"
Geranium,"A floral and herbaceous note often derived from *Pelargonium* species. Geranium oil has a rose-like, green, and minty odor. Citronellol and Geraniol are key chemical components, and the oil is widely used in soap perfumes and luxury fragrances like Youth-Dew"
Incense,"A resinous balsamic ingredient, typically derived from resins like Olibanum (frankincense). It is used for its deep, lingering trail and adds originality and projection to compositions, pairing well with woody scents. Olibanum smoke is influenced by terpenoid pyrolysis products"
Patchouli,"A potent base note providing a sweet-spicy, herbaceous, peppery, and earthy profile with a distinct, slightly camphoraceous woody aroma. Its exceptional fixative strength comes from its high content (52–60%) of the non-volatile alcohol, Patchoulol. It functions as a dominant anchor in woody and oriental bases"
Amber,"A warm, sweet, and powdery fantasy note created by blending materials such as vanilla, patchouli, and benzoin. Amber notes are foundational to the Oriental family, connecting intense sweetness with dry, resinous notes, providing depth and structural support"
Coconut,"A gourmand aroma primarily resulting from delta-lactones, such as (R)-(+)-delta-hexalactone and (R)-(+)-delta-octalactone, which provide the characteristic coconut aroma from the oily flesh of the seeds. The term delta-decalactone is noted for a rich, creamy coconut scent"
Orange Blossom,"The flower oil of the bitter orange (*Citrus aurantium*). When steam distilled, it yields neroli oil, and through extraction, the absolute. It is characterized as a sweet, honeyed floral citrus note and is a classical ingredient in Eau de Cologne formulas"
Cassia,"A spice closely related to cinnamon (*Cinnamomum verum*), but typically referring to *C. cassia*. Cassia contains high levels of the compound coumarin, whereas true cinnamon contains minimal amounts, making high daily consumption of cassia a health risk"
Black Currant,"A fruity note whose distinct green leaf nuance is often replicated by the synthetic molecule Stemone. The buds yield an extract with fruity, sulfuric, and green notes, valued in certain Chypre bases and Colognes due to the intensity of the oil"
Plum,"A fruity note whose aroma is influenced by ketones called damascone isomers. It adds a fruity nuance, sometimes perceived as plum-like or blackcurrant-like"
Peach,"A fruity note whose aroma is primarily due to lactones, especially gamma- and delta-decalactone, which lend a creamy peach aroma. Peach notes add softness and warmth to floral fragrances"
Tangerine,"A citrus note that provides an invigorating and energizing top note. It is the seedless, loosely peeled variety of mandarin orange (clementine) that offers a deep orange color with a glossy appearance"
Tuberose,"A white flower offering an intensely rich, heavy, and narcotic floral odor. Tuberose absolute is a valuable but fragile material, often having sweet, spicy, honeysuckle, and balsam notes. It is obtained by solvent extraction via the concrete"
Hiacynth,"A fragrant flower whose oil constituents include the tertiary ocimenol, 3,7-dimethyl-1,3(E),5(E)-octatriene-7-ol, and (E)-cinnamic alcohol, which has a balsamic odor. Hyacinth provides green, sweet, and narcotic notes to floral bouquets"
Ylang-Ylang,"A tropical flower whose oil is obtained by steam distillation, resulting in a powerful, floral, and intensely sweet odor with a distinctive cresylic and benzoate-like top note. It contains major aromatic components such as benzyl acetate and p-cresyl methyl ether, and is highly used in fine perfumery"
Rose,"The most celebrated of florals, whose oil and absolute are characterized by rose alcohols (citronellol, geraniol), trace components like beta-damascenone (contributing fruity/plum nuance), and Rose Ketones. Rose oil forms the basis of heavy Oriental compositions and is produced globally"
Freesia,"A delicate floral note often referenced for its elegance. Its scent profile combines a flower fragrance with notes of freesia and osmanthus. Due to minimal extractable odorants, Freesia is typically a subtle, supporting floral component"
Iris,"The orris root (rhizome of the iris) is prized for its scent. The unique, fine fragrance is owed to the presence of methylionones (-)-cis-gamma-irone and (-)-cis-alpha-irone, imparting a floral, distinctly powdery, and woody nuance"
Heliotrope,"A flower with a sweet scent commonly described as vanilla-like, but lighter and with a delicate caramel note. The odour is often associated with the compound heliotropin (3,4-methylenedioxybenzaldehyde) which is strongly reminiscent of the flower's scent"
Violet,"A delicate flower whose fragrance is typically created by ionones (alpha-ionone, beta-ionone), delivering a floral, distinctly powdery, and slightly woody nuance. Violet leaf oil has a uniquely sharp, intense green odor"
Civet,"A soft, oily animalic secretion from the African civet, used in perfumery for its note suggestive of leather and its musky fixative properties. Its distinctive odor is attributed to the macrocyclic ketone civetone, which becomes pleasantly and sweetly aromatic when diluted"
Vetiver,"A deep, strong base note distilled from the roots of perennial grass (*Vetiveria zizanoides*). It captures an earthy, smoky, and woody essence, functioning as a powerful fixative and grounding anchor. Haitian production is often preferred for its quality"
Vanilla,"A cornerstone sweet note whose primary odorant is vanillin (4-hydroxy-3-methoxybenzaldehyde). It provides warmth, sweetness, and fixative properties, often softening floral and woody blends. Vanilla is essential in gourmand and oriental accords"
Green Leaves,"A category of compounds giving a green, grassy, or piquant quality. The freshly cut grass smell arises from the rapid enzymatic breakdown of fatty acids, resulting in highly odoriferous C6-compounds like (Z)-3-hexenol and (Z)-3-hexenyl acetate"
Mint,"An aromatic note that imparts a sharp menthol odor, valued for its cooling and invigorating sensation. Peppermint oil (*Mentha piperita*) is rich in (-)-menthol, often functioning as an impactful top note appreciated in warmer compositions"
Melon,"A fruity note characterized by watery, sweetish flesh, with aroma notes shared with cucumber but with a fruity shading. The most important aroma compounds are C9 metabolites of linolenic acid, such as (E,Z)-2,6-nonadienal"
Orris Root,"The powdered rhizome of the sweet iris, *Iris pallida*, which is prized for its fine violet-like and distinctly powdery odor acquired after a lengthy aging process. The key odorants are the methylionones, such as (-)-cis-gamma-irone"
Ambroxide,"A highly powerful synthetic terpenoid, and the principal component replicating the complex, dry ambergris aroma. Its profile is dry amber, driftwood, old paper, and woody. Ambroxide provides extreme longevity (over 400 hours) as a superior base anchor and fixative"
Cashmeran,"A versatile synthetic ketone delivering a distinctive musky scent with woody and slightly spicy undertones. It provides warmth and a sensual, velvety texture, used widely in fine fragrances and often referenced for a powdery effect"
Iso E Super,"The dominant trade name for Tetramethyl Acetyloctahydronaphthalenes (TMAHN). This synthetic woody-amber cornerstone is known for its smooth, woody-ambery aroma with cedar-like facets, acting as a primary diffusion enhancer and structural filler"
Labdanum,"The aromatic resin from the rockrose (*Cistus ladaniferus*), often called ""Vegetable Ambergris"". It offers a warm, amber, suave, musky, woody, spicy, smoky, and balsamic scent, acting as an indispensable, highly effective fixative for Oriental and Chypre perfumes"
Mastic Tree,"The resin from the mastic tree (*Pistacia lentiscus*), often referenced for its green, galbanum-like, and cistus notes, classified under the category of resins and balsams"
Citruses,"A general classification for hesperidic fruits and citrus-smelling materials (like verbena and lemongrass). Citruses provide a refreshing and effervescent top note, acting as precursors to other notes"
Lemon,"A citrus note providing a sharp, bright citrus top note. Lemon peel oil is dominated by (+)-limonene and the aldehyde citral (geranial + neral), providing the characteristic flavor and lift"
Cyclamen,"A floral note that can be recreated using synthetic aldehyde compounds like Hydroxycitronellal and Bourgeonal, resulting in floral, aldehydic, and watery accords. Some natural species emit the sesquiterpene alcohol (-)-(E)-dihydrofarnesol"
Lily Of The Valley,"Also known as Muguet. Its light floral, sweet, and delicate scent is benchmarked by the classic synthetic Hydroxycitronellal, a floralizer with high tenacity (up to 40 hours)"
Cedarwood,"A major woody note derived from conifers like *Juniperus* and *Cedrus* species. Its odor is attributed to cedrol and cedrene. It functions as a base note fixative, providing woody structure to a composition"
Tarragon,"An herb used for fresh, aromatic notes. The cultured variety (French Tarragon) has a characteristic powerful aroma due to its main component, estragole (methylchavicol), which has a sweet, mildly anisic odor"
Pineapple,"A tropical fruit whose aroma is characterized by specific esters, such as methyl 2-methylbutanoate and ethyl 2-methylpropanoate, along with furaneol and mesifurane. Pineapple notes contribute a fruity, juicy, exotic scent"
Cardamom,"The ""Queen of Spices"", known for its sweet, spicy, warm, camphoraceous, and balsamic odor. Its oil is a signature element in oriental/spicy compositions, valued for its complex profile"
Agarwood,"Also known as Oud. This fragrant, dark, and resinous wood is formed when *Aquilaria* trees are infected with mold. It is one of the most expensive natural materials, prized for its complex, elegant, sweet-woody odor"
Oud,"Also known as Agarwood. It is a prized base material in Middle Eastern perfumery for its distinctive, dark, and resinous scent, utilized in colognes, incense, and perfumes. Synthetic substitutes replicating its aroma are the commercial standard"
Agarwood (Oud),"This fragrant, dark, and resinous wood is formed when *Aquilaria* trees are infected with mold. It is a prized base material in Middle Eastern perfumery for its distinctive, dark, and resinous scent, utilized in colognes, incense, and perfumes. It is one of the most expensive natural materials, prized for its complex, elegant, sweet-woody odor. Synthetic substitutes replicating its aroma are the commercial standard"
Brazilian Rosewood,"An oil whose wood was historically a valuable essential oil in perfumery, offering a balsamic, floral, and slightly rose-like odor. It was formerly an important source of the alcohol Linalool, though the tree is now threatened"
Sichuan Pepper,"A spice whose aroma profile includes the compound piperine, which is responsible for the pungent and tingling effect. It is used in spicy/citrus compositions"
Mandarin Orange,"A citrus fruit whose oil has an elegant, deep, sweet, orange-like character, with methyl N-methylanthranilate contributing a neroli-like nuance. The fruit is the ancestor of the widely cultivated clementine hybrid"
Fig,"A fruit note whose scent can be captured in fig leaf absolute, characterized as sweet-green, herbaceous, and woody with a mossy undertone. Fig notes are often rendered through trace natural compounds and synthetics like Stemone"
Juniper,"The common juniper produces berry-like fruits whose oil has a dry and fresh piney odor, characteristic of gin. Juniper berry oil is used for aromatic notes in masculine perfumes"
Orange,"A familiar citrus fruit whose oil is obtained by cold-pressing the peels, primarily used in Eau de Cologne compositions for its fresh sweetness, largely due to the sesquiterpene aldehyde sinensal"
Fig Leaf,"A peculiar note often recreated using synthetics like Stemone, providing a fresh, leafy nuance reminiscent of fig leaves and tomato stems. The absolute has a bitter-green allied-to-coconut-sweet scent"
Hedione,"(Methyl Dihydrojasmonate) An indispensable synthetic molecule that imparts a delicate, transparent, jasmine-like floral character with subtle citrus freshness. It acts as a crucial modifier, creating volume and amplifying other components (Diffusion Enhancer)"
Ambergris,"A prized animalic base note derived from the oxidized secretions of the sperm whale. Its scent profile is dry amber, driftwood, old paper, and woody. It is usually replicated using the synthetic Ambroxide due to its rarity and high cost"
Moss,"A general term for green, earthy notes. Oakmoss (*Evernia prunastri*) is the key lichen extract in this category, known for its dry, earthy, and pine-like aroma, and is regulated due to allergen content"
Elemi,"A resinous balsamic ingredient whose oil has a fresh, balsamic odor. It is known for containing compounds like galbanolene (1,3(E),5(Z)-undecatriene) which contributes a green and metallic note. Elemi resin extract contributes spicy and balsamic notes"
Papyrus,"An aromatic woody note that contributes an extremely rough ""paper smell"" when dried. It is used in compositions alongside cedar and frankincense, sometimes lending a smoky tone"
Pink Pepper,"The dried, red, berry-like fruits of the Peruvian pepper tree (*Schinus molle*). Pink pepper oil has a sweet, fresh odor that adds diffusivity and blends well with musks, used in spicy accords"
Ginger Lily,"A complex floral note created around the Himalayan large-petalled white flower (*Hedychium coronarium*). Its scent, analyzed using the 'living-flower' technique, is described as delicate floral, green, rosy-lemony, with hints of honey and melon"
Benzoin,"A balsamic resin that provides a soft, sweet-balsamic odor, often with a vanilla note (especially Siam Benzoin). It functions as a base note fixative, helping integrate sweet vanilla notes into complex oriental bases"
Black Tea,"A floral aromatic note present in certain oriental gourmand profiles. Fermented black tea extracts are sometimes used in fragrance composition"
Suede,"A fantasy note used in the animalic/musk category, characterized by a soft, refined leather aroma. It is used in fine fragrances to add warmth and a sensual, velvety texture"
Amberwood,"A woody amber fantasy note. It is associated with musky and warm accords and provides a foundational warmth and depth"
White Amber,"A synthetic or blended amber note that is typically cleaner or lighter than traditional amber"
White Flowers,"A self-evident category of fragrant notes, including jasmine, tuberose, gardenia, and orange blossom, known for their lush, opulent, and narcotic scent, symbolizing intense femininity"
Tea,"An aromatic note that can contribute herbal or hay-like facets. Black Tea and Green Tea extracts are noted as materials sometimes included in compositions"
Orris,"The refined scent from the dried rhizome of the iris, highly prized for its delicate floral, distinctly powdery, and woody nuance due to ionones like Alpha-irone. Its high price limits its widespread use in perfumery"
Pear,"A fruit note whose characteristic aroma is largely due to the aliphatic ester ethyl 2(E),4(Z)-decadienoate. Pear notes frequently incorporate pear-like esters like ethyl propionate and allyl hexanoate"
Woody Notes,"A broad category of notes providing structure and depth to a composition. Woody profiles range widely, from tarry/phenolic (guiacwood) to creamy/milky (sandalwood) to dry/austere (cedar)"
Sea Salt,"A note providing a salty profile, primarily categorized under aquatic/marine seasonal notes, used to create ocean-breeze accords"
Seaweed,"A marine note included in aquatic compositions for a salty, ocean-earthy profile. Carrageenan is a viscosity controller derived from seaweed"
Bourbon Vanilla,"A specific type of vanilla (*Vanilla planifolia* extract) that provides rich vanilla, sweet, and warm notes. Bourbon extracts are typically used for high-quality vanilla profiles"
Crème Brûlée,"A complex gourmand fantasy note reminiscent of sweets/desserts, often represented by caramel and vanilla notes"
Turmeric,"A spice from the ginger family (*Curcuma longa*). Turmeric extract is mentioned as a component in certain oriental fragrances, and is known primarily for its yellow colorant properties"
Coffee,"A gourmand note whose extract (*Coffea arabica*) provides a recognizable dark, bitter-sweet, and rich scent. It is used as a natural component in oriental base notes"
Almond,"A nutty and sweet note traditionally associated with benzaldehyde, the almond-like odorant found in bitter almonds. The smell of coumarin in tonka bean also evokes almond-like sweetness"
Larch,"A coniferous wood used in aromatic and woody compositions. Larch turpentine, a type of natural balsam, is one of the resins derived from the *Larix* family"
Origanum,"A genus of aromatic herbs, including oregano and sweet marjoram, whose essential oils are often dominated by phenolic compounds like thymol and carvacrol, known for their spicy, leathery effects"
Tolu Balsam,"A soft balsamic resinous ingredient, offering a persistent, sweet, balsamic odour, sometimes reminiscent of hyacinth. It is used as a fixative in perfumes where a long-lasting sweetness is desired"
Cypriol Oil or Nagarmotha,"An essential oil obtained from the roots of the sedge *Cyperus scariosus*. It has a diffusive, woody-earthy, Oriental character with notes of cinnamon, cedar, and frankincense. It was used in perfumes for its semi-Oriental properties"
Black Amber,"A dark amber fantasy note, providing a warm, deep, sweet, and resinous scent, typically blended from various balsamic and resinous materials"
Palisander Rosewood,"A precious woody note, synonymous with Brazilian rosewood (*Aniba rosaeodora*). It has a balsamic, floral, and slightly rose-like odor and was historically a key source of Linalool"
Yuzu,"A Japanese citrus fruit (*Citrus junos*) with a characteristic tart, dry aroma reminiscent of green grapefruit with overtones of mandarin orange. Its peel oil is used as a refreshing ingredient in perfumes"
Lotus,"A floral note that contributes a cleany, soapy water smell in aquatic compositions. Blue Lotus is explicitly mentioned as part of the elegant, watery structure of certain fresh fragrances"
Bourbon Geranium,"A specific and highly valuable type of geranium oil, known for its powerful, green, leafy-rosy odor with a fruity-minty undertone, produced primarily in Réunion and Madagascar"
Cinnamon Leaf,"An aromatic spice whose oil, derived from the leaves of the cinnamon bush (*Cinnamomum zeylanicum*), has eugenol as its main component, providing a strong spicy note"
Tobacco Leaf,"Leaves from the tobacco plant (*Nicotiana tabacum*) used in heart and base notes. The flavor of the leaves is developed during curing by oxidative breakdown of carotenoids"
Tobacco,"A note that contributes hay-like facets and sophistication to oriental accords. Coumarin often evokes the scent of tobacco"
Mimosa,"A floral note whose absolute (*Acacia farnesiana*) has an extremely warm, powdery-spicy, herbaceous, and floral odor with a deep cinnamic-balsamic undertone. It provides complexity and integrates floral components"
Petitgrain,"Oil typically derived from the bitter orange leaf, characterized by fresh, green, and citrus notes. Petitgrain is fundamental to the Eau de Cologne composition and is sometimes used to add green nuances"
Olibanum,"A resinous balsamic ingredient, commonly known as Frankincense (*Boswellia carterii*). It has a sweet, woody-balsamic odor with a fresh, almost citrusy nuance, used in luxury perfumes"
Juniper Berries,"The ripe fruits of *Juniperus communis*, whose oil has a dry and fresh piney odor, characteristic of gin. Juniper berry oil is used to a limited extent in masculine perfumes for its aromatic qualities"
Lemon Verbena,"A perennial herb whose leaves emit an extremely fresh, sweet, and fruity lemon scent when bruised. Its essential oil is used in high-class perfumery as an outstanding citrus fragrance"
Calone,"A high-impact synthetic ketone, trade-named Calone 1951, that delivers an intense 'sea-breeze' note with slight floral and fruit overtones, foundational to the marine/aquatic fragrance family"
Pelargonium,"A genus of plants whose extracts, such as Geranium oil, contain compounds providing an intensive floral-spicy aromatic scent. Used to introduce floral balance in fragrance hearts"
Star Anise,"A spice whose oil contains a high percentage of anethole (74–94%), giving it a powerful, sweet, refreshing, and spicy liquorice note. It is largely used as a less expensive replacement for traditional anise oil"
Red Thyme,"A specific variant of Thyme (*Thymus vulgaris*). Thyme oil is characterized by phenols like thymol and carvacrol, known for spicy, leathery, and antiseptic effects"
Berry Fruits,"A classification of fruits (e.g., cranberry, bilberry) whose ripe fruits contain free benzoic acid and contribute various fruity, refreshing notes to fragrances. The aroma is complex, including aromatic compounds and isoprene derivatives"
Green Notes,"A general term referring to the sharp, piquant odors of snapped leaves and freshly-cut grasses, prototyped by highly odoriferous C6-compounds like (Z)-3-hexenol and (Z)-3-hexenyl acetate"
Cypress,"A characteristic tree of the Mediterranean region, whose oil has a woody-piney odor and an ambergris note, derived from twig cuttings. Major components include alpha-pinene and delta-3-carene"
Atlas Cedar,"A specific cedarwood oil derived from *Cedrus* species, noted for having a sweeter and less ambery woody smell than *Juniperus* cedarwoods. Used for woody structure"
Red Cedar,"A common name for certain cedarwood oils, derived from *Juniperus* species, characterized by a woody, pencil-like aroma from cedrol and cedrene"
Orange Leaf,"The leaves of the bitter orange tree yield Petitgrain oil, which provides fresh, green notes to fragrances. It is one of the aromatic components of the bitter orange plant"
Green Apple,"A fruity note whose aroma is primarily comprised of esters, alcohols, and aldehydes. Components like hexyl acetate and acetaldehyde contribute to its scent, often used in contrast with fresh woods"
Red Rose,"A specific floral variation whose aroma is defined by alcohols (citronellol, geraniol), often utilized in formulations aiming for a rich, sweet, and classic rose profile"
Turkish Rose,"A specific floral variation derived from the Damask rose (*Rosa damascena*). Its precious oil is obtained by careful steam distillation, mainly in Turkey and Bulgaria"
Bulgarian Rose,"A specific floral variation derived from the Damask rose, whose oil production occurs in countries like Bulgaria and Turkey. It is a source of highly valued rose notes"
Wild Rose,"A specific floral variation of Rose, listed as a middle note in certain fragrance formulations"
Green Mandarin,"A specific citrus variant of mandarin orange, offering an invigorating and energizing scent, part of the aromatic citrus group"
White Musk,"A type of synthetic macrocyclic musk (like HHCB or Ethylene Brassylate) known for a clean, soft, sweet, creamy, and powdery odor profile, enhancing substantivity"
Teak Wood,"A woody note used in fragrance compositions, often providing depth in base notes"
Opoponax,"A resinous balsamic ingredient from *Commiphora erythraea*, known for its warm-balsamic and sweet, honey-like fragrance. It is used in perfumes of the Oriental type"
Cinnamon,"A warm spice obtained from the inner bark of *Cinnamomum* species. Its aroma and flavor derive from its essential oil, mainly the aldehyde cinnamaldehyde. Cinnamon is used as an aromatic condiment and flavor additive"
Neroli,"Neroli is a classic and highly valued floral note, traditionally obtained by steam distillation of the flowers of the bitter orange (*Citrus aurantium*). It has a sweet, honeyed floral scent combined with distinct citrus nuances. Neroli is a foundational ingredient in the classical Eau de Cologne formula, often blended with bergamot, lemon, lavender, and rosemary oils. It is used extensively in fine perfumery, providing a refreshing, clean, and radiant floral component to compositions"
Caramel,"A sweet and gourmand fantasy note, reminiscent of sugar cooked until caramelized. This note is foundational to the classification of Gourmand fragrances, a sub-division of the Oriental family. It is explicitly listed as a note in various complex Oriental/Gourmand blends and helps to balance spicier components with a recognizable sweetness"
White Musk,"A type of synthetic macrocyclic musk, such as Hexamethylindanopyran (HHCB, commonly known as Galaxolide). It provides a clean, sweet musky odor, often accompanied by floral and woody facets. It is highly valued as a strong fixative that enhances substantivity, ensuring the long-term, lingering, and clean presence of a fragrance on skin and fabric"
Grapefruit,"A vibrant citrus note, providing a sharp and tart aroma. Highly potent trace compounds, such as 1-para-menthene-8-thiol (grapefruit mercaptan), contribute to this distinctive scent, sometimes even in the parts per billion range. It is used in fresh citrus accords, including in the compositions of Eau de Cologne mixes"
Cinnamon Wood,"Refers to the woody facets supporting the sweet, spicy odor of cinnamon. The characteristic scent is primarily driven by cinnamaldehyde. Cinnamon is classified as a ""hot/short"" spice and is prominently used in Oriental and warm spicy blends for its distinct aroma and flavor"
Osmanthus,"A floral note that contributes to the sweet, delicate scent of several floral accords, sometimes incorporating aspects of freesia. The scent can be encapsulated, giving a delicate floral fragrance"
Tobacco Leaves,"Used as a natural ingredient in the heart and base notes of fragrances. The note contributes hay-like facets and sophistication to oriental accords. The chemical compound coumarin, found in tonka bean, famously evokes the sweet scent of tobacco and hay"
Gardenia,"A white flower known for its lush, opulent, and narcotic scent. It is a highly sought-after component in white floral compositions, often used in extracts for its skin conditioning properties in cosmetic formulations"
Water Lily,"A light floral note, the oil constituents of which can be found in white floral accords. It is sometimes recreated in combination with aldehydes to achieve light floral and watery effects"
Laotian Oud,"A specific variety of Agarwood (Oud) from Laos. Oud is a complex, fragrant, dark, and resinous wood, highly valued in perfumery, especially in high-end Oriental compositions for its deep, woody, and long-lasting profile"
Atlas Cedar,"A specific cedarwood derived from *Cedrus* species, known for having a sweeter and less ambery woody smell compared to cedarwoods from the *Juniperus* family. It provides structural woody notes to fragrances"
Clary Sage,"An aromatic herb (*Salvia sclarea*) whose essential oil is characterized by sweet, herbaceous, amber, and tobacco notes. It is a natural source of sclareol, a diterpene used as the starting compound for the synthesis of Ambroxide, the industry standard for the ambergris note. It is commonly used in Fougère and aromatic blends"
Myrrh,"An aromatic gum-resin from the *Commiphora* trees, historically used in incense and embalming due to its antibacterial properties. Myrrh oil, obtained by steam distillation, has a refined, sweet-woody, and balsamic odor, used for Oriental nuances in luxury perfumes"
Thyme,"A highly fragrant herb whose flavor and scent are attributed primarily to phenolic compounds like thymol and carvacrol (up to 70% of the essential oil). Thyme essential oil is sometimes used in masculine perfumes for its spicy, leathery effect, and is noted for its presence in aromatic Fougere structures"
Clover,"White and red clover flowers emit a mild, sweet scent. The compound isoamyl salicylate is valued for its intense, greenish, clover-like, balsamic odor, contributing to Fougère or clover accords"
Rhubarb,"A distinctively tangy, fruity, green, and earthy fantasy note. The synthetic material Rhubofix is utilized by perfumers for its ability to provide a woody note along with rhubarb and grapefruit facets"
Bitter Orange,"A citrus fruit (*Citrus Aurantium*) whose flowers are distilled to yield Neroli oil. The peel oil, obtained by expression, contains furanocoumarins, naturally occurring compounds that are highly phototoxic, necessitating FCF (Furanocoumarin-Free) versions for cosmetic safety. It is a traditional ingredient in Eau de Cologne"
Violet Leaf,"A green note that provides a fresh, leafy nuance reminiscent of fig leaves, tomato stems, and blackcurrant buds. It is often replicated by the high-impact synthetic Methyl 2-Octynoate (Folione) used in very low (trace) concentrations to achieve sharp green effects"
Narcissus,"A flower prized in perfumery for its elegant and rich floral odor with a smooth animal undertone. While many well-known essential oil components like benzyl acetate and phenethyl alcohol are present, no single compound is identified as having the true characteristic odor of the flower alone"
Galbanum,"The air-dried gum-resin from *Ferula galbaniflua*, highly valued for its piercingly bitter green character. Its essential oil contains 1,3(E),5(Z)-undecatriene (galbanolene), characterized by a unique, transparent, marine, and metallic odor, frequently used in Chypre and Fougère top notes"
Pine Tree Needles,"These provide a fresh coniferous odor to compositions. Fir needle oils, from the same botanical family, contain compounds like (-)-bornyl acetate and monoterpene hydrocarbons (alpha- and beta-pinene), and are essential in aromatic or coniferous fragrance accords"
Wild Hyacinth,"A floral note chemically related to the light, delicate Lily-of-the-Valley (Muguet) scent. It provides a green, sweet, and narcotic floral note to bouquets. Its essential oil contains cinnamic alcohol, which has a balsamic odor"
